ts,px,py,pz,vx,vy,vz,ax,ay,az
0.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
0.02,2.0012,4.039983330571438,3.0,0.059997999032877766,1.9990998574638663,0.0,2.9998999516438882,-0.04500712680668428,0.0
0.04,2.0048,4.079866578210755,3.0,0.1797959663125338,1.991901958053594,0.0,5.989898363982802,-0.35989497051361896,0.0
0.06,2.0108,4.119549327332754,3.0,0.298999968456547,1.9775234559577246,0.0,5.960200107200661,-0.7189251047934664,0.0
0.08,2.01912,4.158603501046979,3.0,0.41672326688368555,1.9561037086099982,0.0,5.886164921356926,-1.0709873673863224,0.0
0.1,2.02976,4.197131493298558,3.0,0.5323968189615359,1.9278365146348997,0.0,5.783677603892517,-1.4133596987549235,0.0
0.12,2.04264,4.234888149949894,3.0,0.6457256828934266,1.8928915294997275,0.0,5.666443196594534,-1.7472492567586095,0.0
0.14,2.0578,4.271992308005732,3.0,0.7564545946688039,1.8514255173256244,0.0,5.536445588768868,-2.073300608705153,0.0
0.16,2.07504,4.307983470326181,3.0,0.8640053711043567,1.8037446378860904,0.0,5.377538821777638,-2.3840439719767015,0.0
0.18,2.0944,4.342993110502408,3.0,0.9678534704339107,1.750217032190304,0.0,5.192404966477699,-2.676380284789326,0.0
0.2,2.11576,4.376819124558126,3.0,1.0678502355307729,1.6910635335423896,0.0,4.999838254843109,-2.957674932395715,0.0
0.22,2.13904,4.409366177858917,3.0,1.1635386471038918,1.6267076617191072,0.0,4.784420578655945,-3.21779359116412,0.0
0.24,2.16412,4.440503206757891,3.0,1.254579997549045,1.55757151673682,0.0,4.552067522257663,-3.4568072491143575,0.0
0.26,2.19092,4.470169271921252,3.0,1.3407059744403047,1.4840847314422694,0.0,4.306298844562983,-3.674339264727533,0.0
0.28,2.21936,4.498306278586807,3.0,1.4217668741829421,1.406619691130501,0.0,4.05304498713187,-3.8732520155884242,0.0
0.3,2.24928,4.524792167536577,3.0,1.4975410543898193,1.3256586251433768,0.0,3.7887090103438603,-4.048053299356202,0.0
0.32,2.28064,4.549626218317057,3.0,1.5679119651125444,1.241632824009143,0.0,3.5185455361362528,-4.201290056711692,0.0
0.34,2.31332,4.572740723106208,3.0,1.6328458166990414,1.1549088876999953,0.0,3.2466925793248502,-4.336196815457383,0.0
0.36,2.34716,4.594058190647178,3.0,1.6922221069029284,1.0660132930264115,0.0,2.968814510194351,-4.444779733679193,0.0
0.38,2.38204,4.613545239627708,3.0,1.7459874767689627,0.9754628291052156,0.0,2.6882684933017154,-4.52752319605979,0.0
0.4,2.41796,4.631233590000598,3.0,1.794249140646335,0.8835553300670472,0.0,2.413083193868615,-4.595374951908421,0.0
0.42,2.45468,4.6470391876216235,3.0,1.8370478086519717,0.7907308952652534,0.0,2.139933400281835,-4.641221740089691,0.0
0.44,2.49216,4.660985406479398,3.0,1.8744408849491203,0.6974749951296882,0.0,1.8696538148574304,-4.662795006778259,0.0
0.46,2.5302800000000003,4.673063757019902,3.0,1.9065834133553388,0.6041023819836386,0.0,1.6071264203109226,-4.66863065730248,0.0
0.48,2.56896,4.6832851070234955,3.0,1.9336263652835326,0.5109687656602843,0.0,1.3521475964096918,-4.656680816167719,0.0
0.5,2.60808,4.691654510861422,3.0,1.9557425186317607,0.4184151058648548,0.0,1.105807667411407,-4.627682989771473,0.0
0.52,2.64752,4.698187096639554,3.0,1.9731174233864157,0.32681437166830907,0.0,0.8687452377327487,-4.580036709827287,0.0
0.54,2.68724,4.702915754775314,3.0,1.9859760394895365,0.2364300542939823,0.0,0.642930805156039,-4.519215868716338,0.0
0.56,2.72712,4.705865166462386,3.0,1.9945526740584414,0.14751145855939854,0.0,0.42883172844524475,-4.445929786729189,0.0
0.58,2.7671200000000002,4.707071624882277,3.0,1.9990909065147702,0.060295501407272405,0.0,0.22691162281643917,-4.360797857606307,0.0
0.6,2.8071200000000003,4.706571663586393,3.0,1.9998437924916317,-0.024996112351460542,0.0,0.03764429884307585,-4.264580687936648,0.0
0.62,2.84704,4.704410531433886,3.0,1.9970756573961486,-0.10811484003475737,0.0,-0.13840675477415632,-4.155936384164841,0.0
0.64,2.88688,4.7006296962705445,3.0,1.9910542781165397,-0.18895200870545537,0.0,-0.30106896398044425,-4.0418584335349,0.0
0.66,2.92648,4.695288647914516,3.0,1.9820532333742018,-0.26732934756751164,0.0,-0.45005223711689357,-3.918866943102814,0.0
0.68,2.96592,4.6884196687087725,3.0,1.9703403944804365,-0.34315991881144564,0.0,-0.5856419446882644,-3.7915285621967,0.0
0.7000000000000001,3.00504,4.680093112844921,3.0,1.956179773507568,-0.41636605735804155,0.0,-0.7080310486434205,-3.6603069273297955,0.0
0.72,3.0438400000000003,4.670356225286887,3.0,1.9398502861209672,-0.48680680709743746,0.0,-0.8164743693300447,-3.5220374869697952,0.0
0.74,3.08224,4.6592769845358575,3.0,1.921616293280641,-0.5544283735509652,0.0,-0.9116996420163059,-3.381078322676387,0.0
0.76,3.12028,4.6468908216690465,3.0,1.9017274600490963,-0.6192194019046989,0.0,-0.9944416615772389,-3.2395514176866866,0.0
0.78,3.15788,4.633270438591369,3.0,1.8804261792029089,-0.681173534841416,0.0,-1.0650640423093716,-3.0977066468358516,0.0
0.8,3.19504,4.61846495747422,3.0,1.857960593590307,-0.7402583553500458,0.0,-1.1232792806300962,-2.954241025431492,0.0
0.8200000000000001,3.23172,4.602540213727313,3.0,1.8345619990036577,-0.7964811810781867,0.0,-1.169929729332464,-2.8111412864070426,0.0
